origin,colYear,colMonth,prom_arribades
ATL,2008,6,-2.0000
ATL,2008,10,10.0000
ATL,2008,8,7.0000
ATL,2008,7,-16.0000
ATL,2008,5,18.0000
ATL,2008,4,-11.0000
ATL,2008,4,72.0000
ATL,2008,7,25.0000
ATL,2008,3,38.0000
ATL,2008,1,-1.0000
ATL,2008,2,-17.0000
ATL,2008,2,-4.0000
ATW,1988,2,2.0000
ATW,2004,5,10.0000
ATW,2008,5,-10.0000
AUS,1990,4,13.0000
AUS,1990,8,-3.0000
AUS,1992,2,-9.0000
AUS,1992,12,2.0000
AUS,1993,6,0.0000
AUS,1993,1,-3.0000
AUS,1995,7,-1.0000
AUS,1995,3,32.0000
AUS,1997,3,6.0000
AUS,1999,9,-5.0000
AUS,1999,7,0.0000
AUS,2000,8,-1.0000
AUS,2002,10,-3.0000
AUS,2003,2,-5.0000
AUS,2004,11,-6.0000
AUS,2005,10,-10.0000
AUS,2006,4,25.0000
AUS,2007,3,-9.0000
AUS,2007,11,11.0000
AUS,2008,4,-7.0000
AUS,2008,1,1.0000
AUS,2008,4,6.0000
AVL,1994,2,-12.0000
AVL,1997,9,-1.0000
AVL,2006,11,-10.0000
AZO,2003,12,-10.0000
BDL,1988,5,-19.0000
BDL,1988,12,42.0000
BDL,1988,6,-8.0000
BDL,1988,11,1.0000
BDL,1993,8,-5.0000
BDL,1994,4,-1.0000
BDL,1997,6,-16.0000
BDL,1998,5,38.0000
BDL,1998,10,-36.0000
BDL,1999,2,-25.0000
BDL,2000,8,4.0000
BDL,2000,5,-30.0000
BDL,2001,11,-18.0000
BDL,2001,12,11.0000
BDL,2001,8,-2.0000
BDL,2002,11,-8.0000
BDL,2003,12,-14.0000
BDL,2004,9,-3.0000
BDL,2005,11,-15.0000
BDL,2006,10,-9.0000
BDL,2006,9,-4.0000
BDL,2008,12,8.0000
BDL,2008,5,7.0000
BET,1999,8,1.0000
BFL,2007,10,-6.0000
BGR,2004,1,45.0000
BHM,1988,2,-8.0000
BHM,1988,1,51.0000
BHM,1993,7,-7.0000
BHM,1994,11,9.0000
BHM,1995,12,30.0000
BHM,1995,8,4.0000
BHM,1996,10,73.0000
BHM,1997,10,-5.0000
BHM,1998,12,17.0000
BHM,1999,11,-12.0000
BHM,1999,7,-6.0000
BHM,1999,1,-4.0000
BHM,2000,1,-10.0000
BHM,2007,3,-3.0000
BHM,2007,3,-19.0000
BHM,2008,12,-18.0000
BIL,1988,3,26.0000
BIL,1997,3,2.0000
BIS,1989,1,11.0000
BIS,1992,7,23.0000
BNA,1988,5,-11.0000
BNA,1989,7,-2.0000
BNA,1989,2,11.0000
BNA,1989,4,29.0000
BNA,1990,2,-5.0000
BNA,1990,1,1.0000
BNA,1991,7,17.0000
BNA,1993,3,4.0000
BNA,1993,12,-9.0000
BNA,1994,8,-11.0000
BNA,1994,10,-6.0000
BNA,1995,12,-8.0000
BNA,1995,7,-2.0000
BNA,1995,3,1.0000
BNA,1995,3,2.0000
BNA,1996,12,10.0000
BNA,1997,7,34.0000
BNA,1997,6,26.0000
BNA,1997,9,-15.0000
BNA,1997,12,-7.0000
BNA,1999,1,38.0000
BNA,1999,6,5.0000
BNA,1999,7,-10.0000
BNA,2000,3,-15.0000
BNA,2000,9,7.0000
BNA,2000,9,4.0000
BNA,2000,7,-6.0000
BNA,2000,4,7.0000
BNA,2000,10,108.0000
BNA,2000,8,39.0000
BNA,2001,9,28.0000
BNA,2003,8,-14.0000
BNA,2003,3,-2.0000
BNA,2004,5,-5.0000
BNA,2004,9,-13.0000
BNA,2004,10,-5.0000
BNA,2004,3,-11.0000
BNA,2004,2,9.0000
BNA,2005,8,11.0000
BNA,2006,5,-4.0000
BNA,2006,8,5.0000
BNA,2006,10,-10.0000
BNA,2006,8,-20.0000
BNA,2007,9,-2.0000
BNA,2008,12,-9.0000
BNA,2008,3,39.0000
BNA,2008,10,138.0000
BOI,1989,4,-7.0000
BOI,1989,5,10.0000
BOI,1996,5,-4.0000
BOI,1997,10,0.0000
BOI,1997,1,43.0000
BOI,2002,12,-10.0000
BOI,2003,7,-8.0000
BOI,2004,6,18.0000
BOI,2007,10,-9.0000
BOS,1987,10,-3.0000
BOS,1987,11,8.0000
BOS,1988,12,15.0000
BOS,1988,7,5.0000
BOS,1988,9,-10.0000
BOS,1988,1,28.0000
BOS,1989,5,0.0000
BOS,1989,4,8.0000
BOS,1989,6,-4.0000
BOS,1989,12,22.0000
BOS,1990,5,7.0000
BOS,1990,6,-15.0000
BOS,1991,9,1.0000
BOS,1991,4,14.0000
BOS,1991,8,-3.0000
BOS,1991,2,11.0000
BOS,1991,12,-17.0000
BOS,1991,4,61.0000
BOS,1992,5,5.0000
BOS,1992,5,12.0000
BOS,1992,4,35.0000
BOS,1992,1,-11.0000
BOS,1993,12,16.0000
BOS,1993,1,19.0000
BOS,1993,8,-3.0000
BOS,1993,4,55.0000
BOS,1993,4,-13.0000
BOS,1994,11,-10.0000
BOS,1994,7,-3.0000
BOS,1994,4,-16.0000
BOS,1994,3,3.0000
BOS,1994,9,95.0000
BOS,1994,9,-7.0000
BOS,1994,6,-3.0000
BOS,1995,2,-27.0000
BOS,1995,11,-1.0000
BOS,1995,3,4.0000
BOS,1995,12,-3.0000
BOS,1995,4,-22.0000
BOS,1995,11,9.0000
BOS,1995,5,8.0000
BOS,1995,10,2.0000
BOS,1996,2,-1.0000
BOS,1996,3,13.0000
BOS,1996,12,33.0000
BOS,1996,2,-24.0000
BOS,1997,5,12.0000
BOS,1997,4,-17.0000
BOS,1997,6,-4.0000
BOS,1997,4,-4.0000
BOS,1998,5,-9.0000
BOS,1998,2,0.0000
BOS,1998,4,0.0000
BOS,1998,10,11.0000
BOS,1998,9,-5.0000
BOS,1998,6,-9.0000
BOS,1998,10,7.0000
BOS,1999,4,-8.0000
BOS,1999,2,-16.0000
BOS,1999,1,1.0000
BOS,1999,7,20.0000
BOS,1999,5,-26.0000
BOS,1999,4,-22.0000
BOS,2000,10,-1.0000
BOS,2000,7,13.0000
BOS,2000,10,-3.0000
BOS,2001,7,24.0000
BOS,2001,3,22.0000
BOS,2001,6,16.0000
BOS,2001,9,-13.0000
BOS,2001,7,-9.0000
BOS,2001,4,-1.0000
BOS,2001,1,-40.0000
BOS,2002,6,9.0000
BOS,2002,3,59.0000
BOS,2002,6,4.0000
BOS,2003,1,-6.0000
BOS,2003,11,-9.0000
BOS,2004,2,20.0000
BOS,2004,11,-23.0000
BOS,2004,11,-9.0000
BOS,2004,12,103.0000
BOS,2004,2,-25.0000
BOS,2005,3,-5.0000
BOS,2005,9,-8.0000
BOS,2005,5,-9.0000
BOS,2005,6,-34.0000
BOS,2005,7,-20.0000
BOS,2005,12,-4.0000
BOS,2005,6,-12.0000
BOS,2006,5,48.0000
BOS,2006,7,-26.0000
BOS,2006,1,-3.0000
BOS,2006,6,17.0000
BOS,2006,12,139.0000
BOS,2007,3,18.0000
BOS,2007,11,-13.0000
BOS,2007,10,10.0000
BOS,2007,12,-20.0000
BOS,2007,10,-11.0000
BOS,2008,12,15.0000
BOS,2008,10,-14.0000
BOS,2008,8,2.0000
BOS,2008,11,-30.0000
BOS,2008,7,217.0000
BTR,1988,7,1.0000
BTR,1990,2,16.0000
BTR,1991,5,-13.0000
BTR,1995,1,13.0000
BTR,1995,12,6.0000
BTR,2005,10,23.0000
BTV,1987,10,0.0000
BTV,1988,3,-3.0000
BTV,1996,11,-24.0000
BTV,1996,10,-5.0000
BTV,1998,8,-6.0000
BTV,2003,9,-17.0000
BTV,2006,3,-25.0000
BTV,2007,5,-14.0000
BTV,2008,3,-9.0000
BUF,1988,9,7.0000
BUF,1989,9,-13.0000
BUF,1990,11,-8.0000
BUF,1990,12,2.0000
BUF,1991,10,-6.0000
BUF,1991,10,-11.0000
BUF,1991,7,-28.0000
BUF,1992,7,-1.0000
BUF,1993,5,-1.0000
BUF,1997,8,1.0000
BUF,1997,12,-10.0000
BUF,1998,11,13.0000
BUF,1998,4,-2.0000
BUF,2000,8,16.0000
BUF,2003,12,-15.0000
BUF,2003,11,-5.0000
BUF,2005,7,5.0000
BUF,2005,5,16.0000
BUF,2006,11,119.0000
BUF,2007,4,-29.0000
BUF,2007,1,-5.0000
BUF,2008,9,-8.0000
BUR,1987,12,0.0000
BUR,1988,10,21.0000
BUR,1988,8,4.0000
BUR,1989,2,10.0000
BUR,1990,1,40.0000
BUR,1990,7,-1.0000
BUR,1991,6,-10.0000
BUR,1991,9,-3.0000
BUR,1992,4,-5.0000
BUR,1994,6,-7.0000
BUR,1994,12,-1.0000
BUR,1994,5,15.0000
BUR,1995,7,-6.0000
BUR,1999,6,10.0000
BUR,2000,6,12.0000
BUR,2003,12,45.0000
BUR,2004,6,39.0000
BUR,2005,7,64.0000
BUR,2005,7,-7.0000
BUR,2006,7,-7.0000
BUR,2006,1,-5.0000
BUR,2007,6,-7.0000
BUR,2007,11,-6.0000
BUR,2008,1,-4.0000
BUR,2008,6,-6.0000
BUR,2008,11,-9.0000
BUR,2008,12,-14.0000
BWI,1987,11,-5.0000
BWI,1988,12,126.0000
BWI,1988,1,27.0000
BWI,1988,9,4.0000
BWI,1988,3,23.0000
BWI,1989,10,8.0000
BWI,1989,10,16.0000
BWI,1989,1,17.0000
BWI,1989,12,18.0000
BWI,1989,11,5.0000
BWI,1989,12,-15.0000
BWI,1990,12,5.0000
BWI,1990,2,4.0000
BWI,1990,5,-23.0000
BWI,1991,3,-5.0000
BWI,1992,2,7.0000
BWI,1993,4,-2.0000
BWI,1993,11,13.0000
BWI,1993,6,116.0000
BWI,1993,9,4.0000
BWI,1994,11,6.0000
BWI,1994,5,-13.0000
BWI,1995,2,8.0000
BWI,1995,6,21.0000
BWI,1995,11,-22.0000
BWI,1995,1,21.0000
BWI,1996,5,30.0000
BWI,1997,2,15.0000
BWI,1998,2,55.0000
BWI,1998,9,14.0000
BWI,1998,12,283.0000
BWI,1999,8,-10.0000
BWI,1999,1,0.0000
BWI,1999,10,17.0000
BWI,2000,1,-7.0000
BWI,2000,11,-6.0000
BWI,2000,8,2.0000
BWI,2000,4,4.0000
BWI,2000,6,8.0000
BWI,2001,9,-10.0000
BWI,2001,8,23.0000
BWI,2002,7,-15.0000
BWI,2002,8,-9.0000
BWI,2002,11,8.0000
BWI,2002,4,25.0000
BWI,2003,1,-42.0000
BWI,2004,2,1.0000
BWI,2004,1,-5.0000
BWI,2004,10,-5.0000
BWI,2004,6,66.0000
BWI,2005,12,6.0000
BWI,2005,4,15.0000
BWI,2005,6,4.0000
BWI,2005,4,-5.0000
BWI,2005,5,-15.0000
BWI,2005,8,46.0000
BWI,2006,8,3.0000
BWI,2006,7,-5.0000
BWI,2006,12,-22.0000
BWI,2006,10,-13.0000
BWI,2007,1,16.0000
BWI,2007,9,-16.0000
BWI,2008,5,35.0000
BWI,2008,2,-8.0000
BWI,2008,10,21.0000
BWI,2008,9,12.0000
BWI,2008,3,-2.0000
BWI,2008,7,25.0000
BZN,1992,4,-10.0000
BZN,1994,8,-1.0000
CAE,1988,10,-5.0000
CAE,1989,2,34.0000
CAE,1990,2,1.0000
CAE,1998,10,-4.0000
CAE,1999,2,2.0000
CAE,2001,1,2.0000
CAE,2005,3,15.0000
CAE,2008,2,90.0000
CHA,1992,6,7.0000
CHA,2006,5,3.0000
CHO,1987,10,-3.0000
CHO,2006,1,5.0000
CHS,1989,9,17.0000
CHS,1996,8,79.0000
CHS,2007,4,16.0000
CHS,2008,9,-7.0000
CHS,2008,5,3.0000
CID,1989,11,-5.0000
CID,1991,9,2.0000
CID,2000,8,29.0000
CID,2007,7,-2.0000
CID,2007,2,37.0000
CLE,1988,9,3.0000
CLE,1988,9,-2.0000
CLE,1989,8,-6.0000
CLE,1989,7,-24.0000
CLE,1989,5,10.0000
CLE,1990,4,-41.0000
CLE,1990,3,-15.0000
CLE,1990,4,4.0000
CLE,1990,8,-11.0000
CLE,1990,8,4.0000
CLE,1990,1,8.0000
CLE,1990,3,19.0000
CLE,1990,12,19.0000
CLE,1991,6,0.0000
CLE,1991,4,-19.0000
CLE,1991,6,3.0000
CLE,1992,9,-13.0000
CLE,1993,8,-10.0000
CLE,1994,8,2.0000
CLE,1995,5,-3.0000
CLE,1995,12,16.0000
CLE,1995,5,18.0000
CLE,1995,5,19.0000
CLE,1995,10,7.0000
CLE,1996,2,32.0000
CLE,1996,4,-5.0000
CLE,1996,2,2.0000
CLE,1997,4,-7.0000
CLE,1997,1,-1.0000
CLE,1997,2,7.0000
CLE,1997,3,0.0000
CLE,1997,8,110.0000
CLE,1997,9,-9.0000
CLE,1998,3,2.0000
CLE,1998,11,124.0000
CLE,1998,2,12.0000
CLE,1999,1,-5.0000
CLE,1999,9,-2.0000
CLE,2000,10,5.0000
CLE,2000,6,-2.0000
CLE,2000,10,11.0000
CLE,2000,4,-5.0000
CLE,2002,8,-4.0000
CLE,2002,4,6.0000
CLE,2002,5,-6.0000
CLE,2003,8,-16.0000
CLE,2003,4,3.0000
CLE,2003,5,-8.0000
CLE,2003,12,23.0000
CLE,2004,8,-8.0000
CLE,2004,9,-20.0000
CLE,2004,7,-5.0000
CLE,2004,1,8.0000
CLE,2004,8,-1.0000
CLE,2005,3,17.0000
CLE,2006,8,64.0000
CLE,2006,7,-13.0000
CLE,2006,8,-19.0000
CLE,2006,8,12.0000
CLE,2006,1,-15.0000
CLE,2007,4,49.0000
CLE,2007,9,-3.0000
CLE,2007,1,-16.0000
CLE,2008,6,-3.0000
CLE,2008,4,-15.0000
CLL,2006,1,-16.0000
CLT,1987,11,36.0000
CLT,1988,6,13.0000
CLT,1988,8,1.0000
CLT,1988,3,-4.0000
CLT,1988,7,-7.0000
CLT,1988,1,-13.0000
CLT,1988,4,-12.0000
CLT,1988,5,13.0000
CLT,1989,3,-2.0000
CLT,1989,1,5.0000
CLT,1989,4,-9.0000
CLT,1990,6,16.0000
CLT,1990,11,-14.0000
CLT,1990,2,18.0000
CLT,1990,7,-8.0000
CLT,1990,8,-1.0000
CLT,1991,8,39.0000
CLT,1991,12,5.0000
CLT,1991,5,0.0000
CLT,1991,9,9.0000
CLT,1991,11,-16.0000
CLT,1992,11,10.0000
CLT,1992,9,2.0000
CLT,1992,10,-7.0000
CLT,1992,4,-3.0000
CLT,1992,7,-1.0000
CLT,1992,3,-1.0000
CLT,1992,5,1.0000
CLT,1993,6,28.0000
CLT,1993,10,49.0000
CLT,1993,11,3.0000
CLT,1993,9,13.0000
CLT,1993,1,1.0000
CLT,1993,3,29.0000
CLT,1993,8,23.0000
CLT,1993,2,10.0000
CLT,1994,6,-9.0000
CLT,1994,7,95.0000
CLT,1994,10,14.0000
CLT,1994,7,21.0000
CLT,1994,6,18.0000
CLT,1995,10,7.0000
CLT,1995,12,7.0000
CLT,1995,4,6.0000
CLT,1995,12,55.0000
CLT,1995,11,18.0000
CLT,1995,12,10.0000
CLT,1995,4,1.0000
CLT,1995,10,35.0000
CLT,1996,5,9.0000
CLT,1996,7,-14.0000
CLT,1996,7,47.0000
CLT,1996,5,90.0000
CLT,1996,4,4.0000
CLT,1996,3,24.0000
CLT,1997,10,0.0000
CLT,1997,9,-12.0000
CLT,1997,9,-3.0000
CLT,1998,12,16.0000
CLT,1998,5,-2.0000
CLT,1998,3,-3.0000
CLT,1998,1,28.0000
CLT,1999,7,58.0000
CLT,2000,12,-1.0000
CLT,2000,6,-3.0000
CLT,2001,6,220.0000
CLT,2002,10,-17.0000
CLT,2002,3,37.0000
CLT,2002,12,17.0000
CLT,2003,6,-4.0000
CLT,2003,4,2.0000
CLT,2003,5,14.0000
CLT,2003,1,5.0000
CLT,2003,10,-6.0000
CLT,2004,4,-8.0000
CLT,2004,9,-13.0000
CLT,2004,5,-15.0000
CLT,2004,9,-6.0000
CLT,2004,7,6.0000
CLT,2004,1,-3.0000
CLT,2004,6,-23.0000
CLT,2004,11,-2.0000
CLT,2004,3,-5.0000
CLT,2005,12,32.0000
CLT,2005,2,-18.0000
CLT,2005,4,-9.0000
CLT,2006,4,-8.0000
CLT,2006,12,-16.0000
CLT,2006,3,14.0000
CLT,2007,6,-7.0000
CLT,2007,2,0.0000
CLT,2007,5,2.0000
CLT,2007,5,2.0000
CLT,2007,2,-12.0000
CLT,2008,12,-23.0000
CLT,2008,10,-8.0000
CLT,2008,6,116.0000
CLT,2008,3,0.0000
CMH,1988,11,21.0000
CMH,1988,1,1.0000
CMH,1991,7,-5.0000
CMH,1992,3,-8.0000
CMH,1992,9,7.0000
CMH,1993,6,5.0000
CMH,1993,1,2.0000
CMH,1993,12,27.0000
CMH,1993,12,1.0000
CMH,1994,3,3.0000
CMH,1994,8,113.0000
CMH,1995,1,13.0000
CMH,1997,3,-11.0000
CMH,1997,12,-2.0000
CMH,1998,5,16.0000
CMH,2001,10,-15.0000
CMH,2002,3,45.0000
CMH,2003,3,-35.0000
CMH,2003,1,1.0000
CMH,2004,3,137.0000
CMH,2004,12,10.0000
CMH,2004,12,9.0000
CMH,2004,1,-30.0000
CMH,2004,5,47.0000
CMH,2006,12,-2.0000
CMH,2008,2,15.0000
CMH,2008,7,15.0000
CMH,2008,4,2.0000
CMI,1992,4,13.0000
CMI,2006,2,-15.0000
COS,1988,11,9.0000
COS,1989,6,88.0000
COS,1990,5,32.0000
COS,1991,7,2.0000
COS,1992,11,-14.0000
COS,1995,4,-7.0000
COS,1996,9,46.0000
COS,1998,3,-10.0000
COS,1999,7,119.0000
COS,2006,9,-15.0000
COS,2008,2,-18.0000
COS,2008,3,13.0000
CRP,1990,9,-3.0000
CRP,1992,1,0.0000
CRP,2002,11,-8.0000
CRP,2003,10,-18.0000
CRP,2005,12,-4.0000
CRP,2005,9,-8.0000
CRW,1989,8,2.0000
CRW,1990,2,-6.0000
CRW,1995,11,-2.0000
CRW,2006,12,62.0000
CSG,2005,4,18.0000
CVG,1987,10,3.0000
CVG,1988,1,10.0000
CVG,1988,1,15.0000
CVG,1988,10,1.0000
CVG,1989,5,-1.0000
CVG,1989,5,-3.0000
CVG,1989,9,-8.0000
CVG,1990,12,24.0000
CVG,1992,6,12.0000
CVG,1992,7,13.0000
CVG,1992,10,-3.0000
CVG,1992,9,6.0000
CVG,1992,3,20.0000
CVG,1993,9,9.0000
CVG,1993,8,-3.0000
CVG,1993,12,0.0000
CVG,1994,4,24.0000
CVG,1995,6,31.0000
CVG,1995,5,16.0000
CVG,1996,9,-7.0000
